,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
88405,Shot Chart Detail,21500065,231,203898,Tyler Ennis,1610612749,Milwaukee Bucks,2,2,35,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,13,76,115,1,1,20151104,MIL,PHI,88405
88406,Shot Chart Detail,21500065,484,203898,Tyler Ennis,1610612749,Milwaukee Bucks,4,3,59,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,-1,1,0,20151104,MIL,PHI,88406
88407,Shot Chart Detail,21500079,217,203898,Tyler Ennis,1610612749,Milwaukee Bucks,2,4,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,115,65,1,0,20151106,NYK,MIL,88407
88408,Shot Chart Detail,21500079,312,203898,Tyler Ennis,1610612749,Milwaukee Bucks,3,10,23,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,50,77,1,0,20151106,NYK,MIL,88408
88409,Shot Chart Detail,21500079,316,203898,Tyler Ennis,1610612749,Milwaukee Bucks,3,10,8,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,0,1,1,20151106,NYK,MIL,88409
88410,Shot Chart Detail,21500079,322,203898,Tyler Ennis,1610612749,Milwaukee Bucks,3,9,9,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,68,52,1,0,20151106,NYK,MIL,88410
88411,Shot Chart Detail,21500089,12,203898,Tyler Ennis,1610612749,Milwaukee Bucks,1,10,5,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,-5,1,0,20151107,MIL,BKN,88411
88412,Shot Chart Detail,21500089,50,203898,Tyler Ennis,1610612749,Milwaukee Bucks,1,7,20,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-151,87,1,0,20151107,MIL,BKN,88412
88413,Shot Chart Detail,21500089,193,203898,Tyler Ennis,1610612749,Milwaukee Bucks,2,5,10,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,2,1,1,20151107,MIL,BKN,88413
88414,Shot Chart Detail,21500089,214,203898,Tyler Ennis,1610612749,Milwaukee Bucks,2,3,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,63,252,1,1,20151107,MIL,BKN,88414
88415,Shot Chart Detail,21500089,224,203898,Tyler Ennis,1610612749,Milwaukee Bucks,2,1,48,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,11,1,1,20151107,MIL,BKN,88415
88416,Shot Chart Detail,21500089,234,203898,Tyler Ennis,1610612749,Milwaukee Bucks,2,0,0,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,2,1,0,20151107,MIL,BKN,88416
88417,Shot Chart Detail,21500089,246,203898,Tyler Ennis,1610612749,Milwaukee Bucks,3,10,49,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,-1,1,1,20151107,MIL,BKN,88417
88418,Shot Chart Detail,21500089,259,203898,Tyler Ennis,1610612749,Milwaukee Bucks,3,9,20,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-104,124,1,0,20151107,MIL,BKN,88418
88419,Shot Chart Detail,21500089,487,203898,Tyler Ennis,1610612749,Milwaukee Bucks,4,1,31,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-1,1,0,20151107,MIL,BKN,88419
88420,Shot Chart Detail,21500110,14,203898,Tyler Ennis,1610612749,Milwaukee Bucks,1,9,30,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,3,1,1,20151110,MIL,BOS,88420
88421,Shot Chart Detail,21500110,79,203898,Tyler Ennis,1610612749,Milwaukee Bucks,1,3,17,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-66,170,1,0,20151110,MIL,BOS,88421
88422,Shot Chart Detail,21500110,243,203898,Tyler Ennis,1610612749,Milwaukee Bucks,2,0,0,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,13,1,1,20151110,MIL,BOS,88422
88423,Shot Chart Detail,21500110,272,203898,Tyler Ennis,1610612749,Milwaukee Bucks,3,9,38,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-110,62,1,0,20151110,MIL,BOS,88423
88424,Shot Chart Detail,21500121,14,203898,Tyler Ennis,1610612749,Milwaukee Bucks,1,9,44,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,13,1,1,20151111,DEN,MIL,88424
88425,Shot Chart Detail,21500121,18,203898,Tyler Ennis,1610612749,Milwaukee Bucks,1,8,57,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,151,151,1,1,20151111,DEN,MIL,88425
88426,Shot Chart Detail,21500121,26,203898,Tyler Ennis,1610612749,Milwaukee Bucks,1,7,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,182,169,1,0,20151111,DEN,MIL,88426
88427,Shot Chart Detail,21500121,51,203898,Tyler Ennis,1610612749,Milwaukee Bucks,1,4,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-192,203,1,1,20151111,DEN,MIL,88427
88428,Shot Chart Detail,21500158,529,203898,Tyler Ennis,1610612749,Milwaukee Bucks,4,1,37,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-38,0,1,0,20151117,WAS,MIL,88428
88429,Shot Chart Detail,21500246,182,203898,Tyler Ennis,1610612749,Milwaukee Bucks,2,5,47,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,16,1,0,20151129,CHA,MIL,88429
88430,Shot Chart Detail,21500258,488,203898,Tyler Ennis,1610612749,Milwaukee Bucks,4,1,1,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-16,38,1,0,20151130,MIL,DEN,88430
88431,Shot Chart Detail,21500275,32,203898,Tyler Ennis,1610612749,Milwaukee Bucks,1,8,49,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,101,92,1,0,20151202,SAS,MIL,88431
88432,Shot Chart Detail,21500275,39,203898,Tyler Ennis,1610612749,Milwaukee Bucks,1,8,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-137,208,1,0,20151202,SAS,MIL,88432
