,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
103657,Shot Chart Detail,21500053,414,201946,Tyler Hansbrough,1610612766,Charlotte Hornets,4,6,30,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,26,1,1,20151103,CHA,CHI,103657
103658,Shot Chart Detail,21500053,419,201946,Tyler Hansbrough,1610612766,Charlotte Hornets,4,5,44,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,13,1,0,20151103,CHA,CHI,103658
103659,Shot Chart Detail,21500053,464,201946,Tyler Hansbrough,1610612766,Charlotte Hornets,4,1,32,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,32,26,1,0,20151103,CHA,CHI,103659
103660,Shot Chart Detail,21500053,481,201946,Tyler Hansbrough,1610612766,Charlotte Hornets,4,0,16,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,13,1,0,20151103,CHA,CHI,103660
103661,Shot Chart Detail,21500072,519,201946,Tyler Hansbrough,1610612766,Charlotte Hornets,4,1,34,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,21,1,0,20151105,DAL,CHA,103661
103662,Shot Chart Detail,21500178,509,201946,Tyler Hansbrough,1610612766,Charlotte Hornets,4,1,49,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,19,56,1,1,20151120,CHA,PHI,103662
103663,Shot Chart Detail,21500178,515,201946,Tyler Hansbrough,1610612766,Charlotte Hornets,4,0,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,94,232,1,1,20151120,CHA,PHI,103663
103664,Shot Chart Detail,21500178,518,201946,Tyler Hansbrough,1610612766,Charlotte Hornets,4,0,35,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,21,1,0,20151120,CHA,PHI,103664
103665,Shot Chart Detail,21500246,393,201946,Tyler Hansbrough,1610612766,Charlotte Hornets,4,8,45,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,-6,1,1,20151129,CHA,MIL,103665
103666,Shot Chart Detail,21500268,234,201946,Tyler Hansbrough,1610612766,Charlotte Hornets,2,2,30,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,18,1,1,20151202,CHA,GSW,103666
