,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
65883,Shot Chart Detail,21500041,256,204020,Tyler Johnson,1610612748,Miami Heat,2,2,21,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-237,21,1,0,20151101,MIA,HOU
65884,Shot Chart Detail,21500041,264,204020,Tyler Johnson,1610612748,Miami Heat,2,1,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,-1,1,1,20151101,MIA,HOU
65885,Shot Chart Detail,21500041,423,204020,Tyler Johnson,1610612748,Miami Heat,4,10,41,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-197,-11,1,0,20151101,MIA,HOU
65886,Shot Chart Detail,21500041,438,204020,Tyler Johnson,1610612748,Miami Heat,4,8,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,8,1,1,20151101,MIA,HOU
65887,Shot Chart Detail,21500041,486,204020,Tyler Johnson,1610612748,Miami Heat,4,4,48,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,16,1,1,20151101,MIA,HOU
65888,Shot Chart Detail,21500041,508,204020,Tyler Johnson,1610612748,Miami Heat,4,2,47,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,8,1,1,20151101,MIA,HOU
65889,Shot Chart Detail,21500041,526,204020,Tyler Johnson,1610612748,Miami Heat,4,0,37,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,240,2,1,1,20151101,MIA,HOU
65890,Shot Chart Detail,21500055,148,204020,Tyler Johnson,1610612748,Miami Heat,2,9,18,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20151103,MIA,ATL
65891,Shot Chart Detail,21500055,235,204020,Tyler Johnson,1610612748,Miami Heat,2,1,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,191,174,1,0,20151103,MIA,ATL
65892,Shot Chart Detail,21500055,391,204020,Tyler Johnson,1610612748,Miami Heat,3,2,19,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-47,26,1,1,20151103,MIA,ATL
65893,Shot Chart Detail,21500055,420,204020,Tyler Johnson,1610612748,Miami Heat,4,10,49,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-88,139,1,1,20151103,MIA,ATL
65894,Shot Chart Detail,21500055,425,204020,Tyler Johnson,1610612748,Miami Heat,4,9,47,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,11,1,1,20151103,MIA,ATL
