,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
123097,Shot Chart Detail,21500005,13,203092,Tyler Zeller,1610612738,Boston Celtics,1,10,52,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,-1,1,1,20151028,BOS,PHI,123097
123098,Shot Chart Detail,21500005,20,203092,Tyler Zeller,1610612738,Boston Celtics,1,9,48,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,28,174,1,0,20151028,BOS,PHI,123098
123099,Shot Chart Detail,21500005,42,203092,Tyler Zeller,1610612738,Boston Celtics,1,7,59,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-81,149,1,0,20151028,BOS,PHI,123099
123100,Shot Chart Detail,21500005,582,203092,Tyler Zeller,1610612738,Boston Celtics,4,0,35,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,2,164,1,1,20151028,BOS,PHI,123100
123101,Shot Chart Detail,21500024,2,203092,Tyler Zeller,1610612738,Boston Celtics,1,11,48,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-199,13,1,0,20151030,BOS,TOR,123101
123102,Shot Chart Detail,21500024,40,203092,Tyler Zeller,1610612738,Boston Celtics,1,8,9,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-19,180,1,0,20151030,BOS,TOR,123102
123103,Shot Chart Detail,21500024,51,203092,Tyler Zeller,1610612738,Boston Celtics,1,7,29,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,2,1,1,20151030,BOS,TOR,123103
123104,Shot Chart Detail,21500024,254,203092,Tyler Zeller,1610612738,Boston Celtics,2,5,10,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,7,1,1,20151030,BOS,TOR,123104
123105,Shot Chart Detail,21500024,359,203092,Tyler Zeller,1610612738,Boston Celtics,3,9,56,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,11,1,0,20151030,BOS,TOR,123105
123106,Shot Chart Detail,21500024,367,203092,Tyler Zeller,1610612738,Boston Celtics,3,9,26,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,11,1,1,20151030,BOS,TOR,123106
123107,Shot Chart Detail,21500024,380,203092,Tyler Zeller,1610612738,Boston Celtics,3,8,36,Missed Shot,Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,82,36,1,0,20151030,BOS,TOR,123107
123108,Shot Chart Detail,21500024,552,203092,Tyler Zeller,1610612738,Boston Celtics,4,5,32,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,28,7,1,1,20151030,BOS,TOR,123108
123109,Shot Chart Detail,21500040,28,203092,Tyler Zeller,1610612738,Boston Celtics,1,8,8,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-55,36,1,0,20151101,BOS,SAS,123109
123110,Shot Chart Detail,21500040,45,203092,Tyler Zeller,1610612738,Boston Celtics,1,6,33,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,156,26,1,0,20151101,BOS,SAS,123110
123111,Shot Chart Detail,21500060,87,203092,Tyler Zeller,1610612738,Boston Celtics,1,3,11,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-2,41,1,0,20151104,IND,BOS,123111
123112,Shot Chart Detail,21500060,101,203092,Tyler Zeller,1610612738,Boston Celtics,1,1,38,Missed Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,-1,1,0,20151104,IND,BOS,123112
123113,Shot Chart Detail,21500076,515,203092,Tyler Zeller,1610612738,Boston Celtics,4,4,9,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,61,28,1,0,20151106,BOS,WAS,123113
123114,Shot Chart Detail,21500076,540,203092,Tyler Zeller,1610612738,Boston Celtics,4,2,34,Made Shot,Driving Bank Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-58,26,1,1,20151106,BOS,WAS,123114
123115,Shot Chart Detail,21500076,556,203092,Tyler Zeller,1610612738,Boston Celtics,4,1,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-94,169,1,1,20151106,BOS,WAS,123115
123116,Shot Chart Detail,21500076,570,203092,Tyler Zeller,1610612738,Boston Celtics,4,0,40,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,7,1,1,20151106,BOS,WAS,123116
