,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
89415,Shot Chart Detail,21500266,12,201936,Tyreke Evans,1610612740,New Orleans Pelicans,1,9,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,23,86,223,1,1,20151201,NOP,MEM
89416,Shot Chart Detail,21500266,37,201936,Tyreke Evans,1610612740,New Orleans Pelicans,1,7,10,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,8,1,1,20151201,NOP,MEM
89417,Shot Chart Detail,21500266,227,201936,Tyreke Evans,1610612740,New Orleans Pelicans,2,4,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,78,228,1,0,20151201,NOP,MEM
89418,Shot Chart Detail,21500266,245,201936,Tyreke Evans,1610612740,New Orleans Pelicans,2,2,39,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,8,1,1,20151201,NOP,MEM
89419,Shot Chart Detail,21500266,256,201936,Tyreke Evans,1610612740,New Orleans Pelicans,2,1,27,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,21,1,1,20151201,NOP,MEM
89420,Shot Chart Detail,21500266,275,201936,Tyreke Evans,1610612740,New Orleans Pelicans,2,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,41,189,372,1,0,20151201,NOP,MEM
89421,Shot Chart Detail,21500266,292,201936,Tyreke Evans,1610612740,New Orleans Pelicans,3,10,25,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,0,1,1,20151201,NOP,MEM
89422,Shot Chart Detail,21500266,303,201936,Tyreke Evans,1610612740,New Orleans Pelicans,3,9,8,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,137,106,1,0,20151201,NOP,MEM
89423,Shot Chart Detail,21500266,448,201936,Tyreke Evans,1610612740,New Orleans Pelicans,4,10,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,2,1,1,20151201,NOP,MEM
89424,Shot Chart Detail,21500266,484,201936,Tyreke Evans,1610612740,New Orleans Pelicans,4,7,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,200,154,1,0,20151201,NOP,MEM
