,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
148189,Shot Chart Detail,21500014,199,2199,Tyson Chandler,1610612756,Phoenix Suns,2,9,20,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,-5,1,1,20151028,PHX,DAL
148190,Shot Chart Detail,21500014,343,2199,Tyson Chandler,1610612756,Phoenix Suns,3,10,36,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,-15,1,0,20151028,PHX,DAL
148191,Shot Chart Detail,21500032,20,2199,Tyson Chandler,1610612756,Phoenix Suns,1,9,11,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,PHX,POR
148192,Shot Chart Detail,21500032,31,2199,Tyson Chandler,1610612756,Phoenix Suns,1,8,15,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,PHX,POR
148193,Shot Chart Detail,21500032,47,2199,Tyson Chandler,1610612756,Phoenix Suns,1,6,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,-11,1,1,20151030,PHX,POR
148194,Shot Chart Detail,21500032,60,2199,Tyson Chandler,1610612756,Phoenix Suns,1,5,10,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,7,1,0,20151030,PHX,POR
148195,Shot Chart Detail,21500032,85,2199,Tyson Chandler,1610612756,Phoenix Suns,1,3,54,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,61,174,1,0,20151030,PHX,POR
148196,Shot Chart Detail,21500032,219,2199,Tyson Chandler,1610612756,Phoenix Suns,2,4,20,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,10,1,0,20151030,PHX,POR
148197,Shot Chart Detail,21500032,554,2199,Tyson Chandler,1610612756,Phoenix Suns,4,3,19,Missed Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-1,1,0,20151030,PHX,POR
148198,Shot Chart Detail,21500037,4,2199,Tyson Chandler,1610612756,Phoenix Suns,1,11,25,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151031,POR,PHX
148199,Shot Chart Detail,21500037,60,2199,Tyson Chandler,1610612756,Phoenix Suns,1,5,5,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151031,POR,PHX
148200,Shot Chart Detail,21500037,234,2199,Tyson Chandler,1610612756,Phoenix Suns,2,0,10,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,18,1,0,20151031,POR,PHX
148202,Shot Chart Detail,21500037,256,2199,Tyson Chandler,1610612756,Phoenix Suns,3,10,24,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,7,1,0,20151031,POR,PHX
148203,Shot Chart Detail,21500052,25,2199,Tyson Chandler,1610612756,Phoenix Suns,1,9,5,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,26,1,1,20151102,LAC,PHX
148204,Shot Chart Detail,21500052,80,2199,Tyson Chandler,1610612756,Phoenix Suns,1,3,30,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151102,LAC,PHX
148205,Shot Chart Detail,21500052,213,2199,Tyson Chandler,1610612756,Phoenix Suns,2,4,42,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151102,LAC,PHX
148206,Shot Chart Detail,21500052,275,2199,Tyson Chandler,1610612756,Phoenix Suns,3,10,54,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,1,149,1,0,20151102,LAC,PHX
