,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
197081,Shot Chart Detail,21500111,125,1626145,Tyus Jones,1610612750,Minnesota Timberwolves,1,1,19,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,3,1,0,20151110,MIN,CHA
197082,Shot Chart Detail,21500111,170,1626145,Tyus Jones,1610612750,Minnesota Timberwolves,2,9,43,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-97,95,1,0,20151110,MIN,CHA
197083,Shot Chart Detail,21500111,395,1626145,Tyus Jones,1610612750,Minnesota Timberwolves,3,0,1,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-14,65,1,0,20151110,MIN,CHA
197084,Shot Chart Detail,21500111,410,1626145,Tyus Jones,1610612750,Minnesota Timberwolves,4,10,13,Missed Shot,Running Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,0,36,1,0,20151110,MIN,CHA
197085,Shot Chart Detail,21500125,528,1626145,Tyus Jones,1610612750,Minnesota Timberwolves,4,0,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-14,247,1,0,20151112,MIN,GSW
197086,Shot Chart Detail,21500431,99,1626145,Tyus Jones,1610612750,Minnesota Timberwolves,1,0,59,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-1,1,1,20151223,MIN,SAS
197087,Shot Chart Detail,21500431,128,1626145,Tyus Jones,1610612750,Minnesota Timberwolves,2,9,30,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,69,169,1,0,20151223,MIN,SAS
197088,Shot Chart Detail,21500431,131,1626145,Tyus Jones,1610612750,Minnesota Timberwolves,2,9,14,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,-1,1,1,20151223,MIN,SAS
197089,Shot Chart Detail,21500431,137,1626145,Tyus Jones,1610612750,Minnesota Timberwolves,2,8,21,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-68,80,1,1,20151223,MIN,SAS
197090,Shot Chart Detail,21500431,142,1626145,Tyus Jones,1610612750,Minnesota Timberwolves,2,7,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-237,100,1,0,20151223,MIN,SAS
