,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
136102,Shot Chart Detail,21500051,156,1713,Vince Carter,1610612763,Memphis Grizzlies,2,8,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-22,208,1,0,20151102,GSW,MEM
136103,Shot Chart Detail,21500051,425,1713,Vince Carter,1610612763,Memphis Grizzlies,4,11,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-61,247,1,0,20151102,GSW,MEM
136104,Shot Chart Detail,21500051,512,1713,Vince Carter,1610612763,Memphis Grizzlies,4,3,19,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-11,247,1,1,20151102,GSW,MEM
136105,Shot Chart Detail,21500051,541,1713,Vince Carter,1610612763,Memphis Grizzlies,4,1,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-204,160,1,0,20151102,GSW,MEM
136106,Shot Chart Detail,21500180,63,1713,Vince Carter,1610612763,Memphis Grizzlies,1,5,26,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,28,8,1,0,20151120,MEM,HOU
136107,Shot Chart Detail,21500180,68,1713,Vince Carter,1610612763,Memphis Grizzlies,1,5,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-45,239,1,1,20151120,MEM,HOU
136108,Shot Chart Detail,21500180,102,1713,Vince Carter,1610612763,Memphis Grizzlies,1,2,32,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-228,75,1,1,20151120,MEM,HOU
136109,Shot Chart Detail,21500180,121,1713,Vince Carter,1610612763,Memphis Grizzlies,1,0,41,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,-6,1,0,20151120,MEM,HOU
136110,Shot Chart Detail,21500180,147,1713,Vince Carter,1610612763,Memphis Grizzlies,2,10,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,184,185,1,0,20151120,MEM,HOU
136111,Shot Chart Detail,21500180,371,1713,Vince Carter,1610612763,Memphis Grizzlies,3,2,54,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,23,9,237,1,0,20151120,MEM,HOU
136112,Shot Chart Detail,21500195,99,1713,Vince Carter,1610612763,Memphis Grizzlies,1,0,41,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-101,26,1,1,20151121,SAS,MEM
136113,Shot Chart Detail,21500195,115,1713,Vince Carter,1610612763,Memphis Grizzlies,2,11,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-25,249,1,0,20151121,SAS,MEM
136114,Shot Chart Detail,21500195,159,1713,Vince Carter,1610612763,Memphis Grizzlies,2,7,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,150,105,1,1,20151121,SAS,MEM
136115,Shot Chart Detail,21500195,407,1713,Vince Carter,1610612763,Memphis Grizzlies,4,7,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,161,180,1,0,20151121,SAS,MEM
136116,Shot Chart Detail,21500195,431,1713,Vince Carter,1610612763,Memphis Grizzlies,4,3,52,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-114,134,1,1,20151121,SAS,MEM
136117,Shot Chart Detail,21500195,441,1713,Vince Carter,1610612763,Memphis Grizzlies,4,2,12,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,177,-15,1,0,20151121,SAS,MEM
136118,Shot Chart Detail,21500211,122,1713,Vince Carter,1610612763,Memphis Grizzlies,2,11,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-84,237,1,0,20151124,MEM,DAL
136119,Shot Chart Detail,21500211,143,1713,Vince Carter,1610612763,Memphis Grizzlies,2,10,1,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-11,1,0,20151124,MEM,DAL
136120,Shot Chart Detail,21500211,172,1713,Vince Carter,1610612763,Memphis Grizzlies,2,7,18,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151124,MEM,DAL
