,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
64312,Shot Chart Detail,21500016,152,202325,Wesley Johnson,1610612746,LA Clippers,2,9,43,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,33,1,1,20151028,SAC,LAC
64313,Shot Chart Detail,21500016,466,202325,Wesley Johnson,1610612746,LA Clippers,4,10,20,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,81,139,1,0,20151028,SAC,LAC
64314,Shot Chart Detail,21500020,189,202325,Wesley Johnson,1610612746,LA Clippers,2,8,12,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,36,1,0,20151029,LAC,DAL
64315,Shot Chart Detail,21500020,415,202325,Wesley Johnson,1610612746,LA Clippers,3,2,19,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151029,LAC,DAL
64316,Shot Chart Detail,21500020,467,202325,Wesley Johnson,1610612746,LA Clippers,4,10,8,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-24,21,1,1,20151029,LAC,DAL
64317,Shot Chart Detail,21500020,500,202325,Wesley Johnson,1610612746,LA Clippers,4,7,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,99,237,1,0,20151029,LAC,DAL
64318,Shot Chart Detail,21500020,513,202325,Wesley Johnson,1610612746,LA Clippers,4,6,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,156,3,1,1,20151029,LAC,DAL
64319,Shot Chart Detail,21500020,552,202325,Wesley Johnson,1610612746,LA Clippers,4,1,53,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-165,205,1,0,20151029,LAC,DAL
64320,Shot Chart Detail,21500020,562,202325,Wesley Johnson,1610612746,LA Clippers,4,1,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-186,205,1,0,20151029,LAC,DAL
64321,Shot Chart Detail,21500038,164,202325,Wesley Johnson,1610612746,LA Clippers,2,9,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-114,237,1,0,20151031,LAC,SAC
