,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
114208,Shot Chart Detail,21500010,108,203115,Will Barton,1610612743,Denver Nuggets,1,2,41,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-143,174,1,0,20151028,HOU,DEN
114209,Shot Chart Detail,21500010,128,203115,Will Barton,1610612743,Denver Nuggets,1,0,52,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,HOU,DEN
114210,Shot Chart Detail,21500010,141,203115,Will Barton,1610612743,Denver Nuggets,2,10,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-12,249,1,0,20151028,HOU,DEN
114211,Shot Chart Detail,21500010,367,203115,Will Barton,1610612743,Denver Nuggets,3,2,17,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,HOU,DEN
114212,Shot Chart Detail,21500010,370,203115,Will Barton,1610612743,Denver Nuggets,3,1,53,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-37,7,1,0,20151028,HOU,DEN
114213,Shot Chart Detail,21500010,380,203115,Will Barton,1610612743,Denver Nuggets,3,1,17,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,HOU,DEN
114214,Shot Chart Detail,21500010,384,203115,Will Barton,1610612743,Denver Nuggets,3,0,38,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,114,21,1,0,20151028,HOU,DEN
114215,Shot Chart Detail,21500010,423,203115,Will Barton,1610612743,Denver Nuggets,4,9,7,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,HOU,DEN
114216,Shot Chart Detail,21500010,439,203115,Will Barton,1610612743,Denver Nuggets,4,7,8,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-101,23,1,0,20151028,HOU,DEN
114217,Shot Chart Detail,21500010,557,203115,Will Barton,1610612743,Denver Nuggets,4,0,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-223,131,1,1,20151028,HOU,DEN
114218,Shot Chart Detail,21500029,49,203115,Will Barton,1610612743,Denver Nuggets,1,6,30,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-19,183,1,0,20151030,DEN,MIN
114219,Shot Chart Detail,21500029,104,203115,Will Barton,1610612743,Denver Nuggets,1,1,38,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,42,11,1,0,20151030,DEN,MIN
114220,Shot Chart Detail,21500029,108,203115,Will Barton,1610612743,Denver Nuggets,1,1,19,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,7,1,1,20151030,DEN,MIN
114221,Shot Chart Detail,21500029,401,203115,Will Barton,1610612743,Denver Nuggets,3,4,11,Made Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,0,31,1,1,20151030,DEN,MIN
114222,Shot Chart Detail,21500029,415,203115,Will Barton,1610612743,Denver Nuggets,3,3,39,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,-16,1,1,20151030,DEN,MIN
