,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
152823,Shot Chart Detail,21501017,136,204098,Xavier Munford,1610612763,Memphis Grizzlies,2,10,33,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-60,136,1,0,20160317,MIL,MEM
152824,Shot Chart Detail,21501017,169,204098,Xavier Munford,1610612763,Memphis Grizzlies,2,8,5,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-17,72,1,0,20160317,MIL,MEM
152825,Shot Chart Detail,21501017,357,204098,Xavier Munford,1610612763,Memphis Grizzlies,3,0,39,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-241,61,1,0,20160317,MIL,MEM
152826,Shot Chart Detail,21501035,131,204098,Xavier Munford,1610612763,Memphis Grizzlies,2,9,57,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,141,129,1,1,20160319,MEM,LAC
152827,Shot Chart Detail,21501035,150,204098,Xavier Munford,1610612763,Memphis Grizzlies,2,8,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,73,234,1,0,20160319,MEM,LAC
152828,Shot Chart Detail,21501035,171,204098,Xavier Munford,1610612763,Memphis Grizzlies,2,6,32,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160319,MEM,LAC
152829,Shot Chart Detail,21501035,196,204098,Xavier Munford,1610612763,Memphis Grizzlies,2,4,42,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,2,1,0,20160319,MEM,LAC
152830,Shot Chart Detail,21501035,411,204098,Xavier Munford,1610612763,Memphis Grizzlies,4,11,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,130,169,1,1,20160319,MEM,LAC
152831,Shot Chart Detail,21501051,406,204098,Xavier Munford,1610612763,Memphis Grizzlies,3,0,26,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-155,208,1,0,20160321,PHX,MEM
152832,Shot Chart Detail,21501051,461,204098,Xavier Munford,1610612763,Memphis Grizzlies,4,7,33,Made Shot,Jump Bank Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,145,203,1,1,20160321,PHX,MEM
152833,Shot Chart Detail,21501100,457,204098,Xavier Munford,1610612763,Memphis Grizzlies,4,5,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,133,224,1,1,20160328,MEM,SAS
